Variable,Country,Year,Value,,,,,,,,,,,
inflow,Norway,2018,452,,,,,,,,,,,
inflow,Norway,2019,501,,,,,,,,,,,
outflow,Norway,2000,63,,,,,,,,,,,
outflow,Norway,2001,89,,,,,,,,,,,
outflow,Norway,2002,67,,,,,,,,,,,
outflow,Norway,2003,104,,,,,,,,,,,
outflow,Norway,2004,124,,,,,,,,,,,
outflow,Norway,2005,144,,,,,,,,,,,
outflow,Norway,2006,126,,,,,,,,,,,
outflow,Norway,2007,79,,,,,,,,,,,
outflow,Norway,2008,88,,,,,,,,,,,
outflow,Norway,2009,69,,,,,,,,,,,
outflow,Norway,2010,96,,,,,,,,,,,
outflow,Norway,2011,118,,,,,,,,,,,
outflow,Norway,2012,127,,,,,,,,,,,
outflow,Norway,2013,111,,,,,,,,,,,
outflow,Norway,2014,155,,,,,,,,,,,
outflow,Norway,2015,143,,,,,,,,,,,
outflow,Norway,2016,124,,,,,,,,,,,
outflow,Norway,2017,94,,,,,,,,,,,
outflow,Norway,2018,69,,,,,,,,,,,
outflow,Norway,2019,61,,,,,,,,,,,
inflow,Poland,2005,40,,,,,,,,,,,
inflow,Poland,2006,49,,,,,,,,,,,
inflow,Poland,2007,64,,,,,,,,,,,
inflow,Poland,2008,68,,,,,,,,,,,
inflow,Poland,2009,73,,,,,,,,,,,
inflow,Poland,2010,111,,,,,,,,,,,
inflow,Poland,2011,126,,,,,,,,,,,
inflow,Poland,2012,132,,,,,,,,,,,
inflow,Poland,2013,174,,,,,,,,,,,
inflow,Poland,2014,89,,,,,,,,,,,
inflow,Poland,2015,181,,,,,,,,,,,
inflow,Poland,2016,197,,,,,,,,,,,
inflow,Poland,2017,233,,,,,,,,,,,
inflow,Poland,2018,243,,,,,,,,,,,
inflow,Poland,2019,289,,,,,,,,,,,
inflow,Slovak Republic,2003,12,,,,,,,,,,,
inflow,Slovak Republic,2004,19,,,,,,,,,,,
inflow,Slovak Republic,2005,12,,,,,,,,,,,
inflow,Slovak Republic,2006,7,,,,,,,,,,,
inflow,Slovak Republic,2007,1,,,,,,,,,,,
inflow,Slovak Republic,2008,2,,,,,,,,,,,
inflow,Slovak Republic,2009,3,,,,,,,,,,,
inflow,Slovak Republic,2010,7,,,,,,,,,,,
inflow,Slovak Republic,2011,1,,,,,,,,,,,
inflow,Slovak Republic,2012,4,,,,,,,,,,,
inflow,Slovak Republic,2013,3,,,,,,,,,,,
inflow,Slovak Republic,2014,3,,,,,,,,,,,
inflow,Slovak Republic,2015,7,,,,,,,,,,,
inflow,Slovak Republic,2016,4,,,,,,,,,,,
inflow,Slovak Republic,2017,3,,,,,,,,,,,
inflow,Slovak Republic,2018,5,,,,,,,,,,,
inflow,Slovak Republic,2019,11,,,,,,,,,,,
outflow,Slovak Republic,2003,12,,,,,,,,,,,
outflow,Slovak Republic,2004,9,,,,,,,,,,,
outflow,Slovak Republic,2005,1,,,,,,,,,,,
outflow,Slovak Republic,2006,3,,,,,,,,,,,
outflow,Slovak Republic,2007,1,,,,,,,,,,,
outflow,Slovak Republic,2008,5,,,,,,,,,,,
outflow,Slovak Republic,2009,4,,,,,,,,,,,
outflow,Slovak Republic,2010,15,,,,,,,,,,,
outflow,Slovak Republic,2011,10,,,,,,,,,,,
inflow,Spain,2000,236,,,,,,,,,,,
inflow,Spain,2001,223,,,,,,,,,,,
inflow,Spain,2002,177,,,,,,,,,,,
inflow,Spain,2003,212,,,,,,,,,,,
inflow,Spain,2004,313,,,,,,,,,,,
inflow,Spain,2005,266,,,,,,,,,,,
inflow,Spain,2006,304,,,,,,,,,,,
inflow,Spain,2007,297,,,,,,,,,,,
inflow,Spain,2008,280,,,,,,,,,,,
inflow,Spain,2009,291,,,,,,,,,,,
inflow,Spain,2010,363,,,,,,,,,,,
inflow,Spain,2011,490,,,,,,,,,,,
inflow,Spain,2012,616,,,,,,,,,,,
inflow,Spain,2013,456,,,,,,,,,,,
inflow,Spain,2014,485,,,,,,,,,,,
inflow,Spain,2015,549,,,,,,,,,,,
inflow,Spain,2016,737,,,,,,,,,,,
inflow,Spain,2017,1478,,,,,,,,,,,
inflow,Spain,2018,0,,,,,,,,,,,
inflow,Spain,2019,0,,,,,,,,,,,
outflow,Spain,2002,4,,,,,,,,,,,
outflow,Spain,2003,5,,,,,,,,,,,
outflow,Spain,2004,22,,,,,,,,,,,
outflow,Spain,2005,11,,,,,,,,,,,
outflow,Spain,2006,79,,,,,,,,,,,
outflow,Spain,2007,248,,,,,,,,,,,
outflow,Spain,2008,159,,,,,,,,,,,
outflow,Spain,2009,151,,,,,,,,,,,
outflow,Spain,2010,178,,,,,,,,,,,
outflow,Spain,2011,233,,,,,,,,,,,
outflow,Spain,2012,199,,,,,,,,,,,
outflow,Spain,2013,358,,,,,,,,,,,
outflow,Spain,2014,282,,,,,,,,,,,
outflow,Spain,2015,190,,,,,,,,,,,
outflow,Spain,2016,250,,,,,,,,,,,
outflow,Spain,2017,352,,,,,,,,,,,
outflow,Spain,2019,0,,,,,,,,,,,
inflow,Sweden,2000,1106,,,,,,,,,,,
inflow,Sweden,2001,1301,,,,,,,,,,,
inflow,Sweden,2002,1365,,,,,,,,,,,
inflow,Sweden,2003,1016,,,,,,,,,,,
inflow,Sweden,2004,1477,,,,,,,,,,,
inflow,Sweden,2005,1063,,,,,,,,,,,
inflow,Sweden,2006,2008,,,,,,,,,,,
inflow,Sweden,2007,1427,,,,,,,,,,,
inflow,Sweden,2008,1766,,,,,,,,,,,
inflow,Sweden,2009,2416,,,,,,,,,,,
inflow,Sweden,2010,2820,,,,,,,,,,,
inflow,Sweden,2011,2168,,,,,,,,,,,
inflow,Sweden,2012,2111,,,,,,,,,,,
inflow,Sweden,2013,1988,,,,,,,,,,,
inflow,Sweden,2014,1744,,,,,,,,,,,
inflow,Sweden,2015,1334,,,,,,,,,,,
inflow,Sweden,2016,1702,,,,,,,,,,,
inflow,Sweden,2017,2348,,,,,,,,,,,
inflow,Sweden,2018,2504,,,,,,,,,,,
inflow,Sweden,2019,2300,,,,,,,,,,,
outflow,Sweden,2000,176,,,,,,,,,,,
outflow,Sweden,2001,174,,,,,,,,,,,
outflow,Sweden,2002,217,,,,,,,,,,,
outflow,Sweden,2003,213,,,,,,,,,,,
outflow,Sweden,2004,231,,,,,,,,,,,
outflow,Sweden,2005,198,,,,,,,,,,,
outflow,Sweden,2006,294,,,,,,,,,,,
outflow,Sweden,2007,331,,,,,,,,,,,
outflow,Sweden,2008,287,,,,,,,,,,,
outflow,Sweden,2009,131,,,,,,,,,,,
outflow,Sweden,2010,256,,,,,,,,,,,
outflow,Sweden,2011,375,,,,,,,,,,,
outflow,Sweden,2012,515,,,,,,,,,,,
outflow,Sweden,2013,447,,,,,,,,,,,
outflow,Sweden,2014,657,,,,,,,,,,,
outflow,Sweden,2015,827,,,,,,,,,,,
outflow,Sweden,2016,279,,,,,,,,,,,
outflow,Sweden,2017,271,,,,,,,,,,,
outflow,Sweden,2018,212,,,,,,,,,,,
outflow,Sweden,2019,245,,,,,,,,,,,
inflow,Switzerland,2010,522,,,,,,,,,,,
inflow,Switzerland,2011,524,,,,,,,,,,,
inflow,Switzerland,2012,467,,,,,,,,,,,
inflow,Switzerland,2013,437,,,,,,,,,,,
inflow,Switzerland,2014,386,,,,,,,,,,,
inflow,Switzerland,2015,440,,,,,,,,,,,
inflow,Switzerland,2016,439,,,,,,,,,,,
inflow,Switzerland,2017,485,,,,,,,,,,,
inflow,Switzerland,2018,606,,,,,,,,,,,
inflow,Switzerland,2019,545,,,,,,,,,,,
outflow,Switzerland,2010,140,,,,,,,,,,,
outflow,Switzerland,2011,161,,,,,,,,,,,
outflow,Switzerland,2012,125,,,,,,,,,,,
outflow,Switzerland,2013,157,,,,,,,,,,,
outflow,Switzerland,2014,155,,,,,,,,,,,
outflow,Switzerland,2015,164,,,,,,,,,,,
outflow,Switzerland,2016,172,,,,,,,,,,,
outflow,Switzerland,2017,178,,,,,,,,,,,
outflow,Switzerland,2018,179,,,,,,,,,,,
outflow,Switzerland,2019,193,,,,,,,,,,,
inflow,Turkey,2010,1539,,,,,,,,,,,
inflow,Turkey,2016,15539,,,,,,,,,,,
inflow,Turkey,2017,17794,,,,,,,,,,,
inflow,Turkey,2018,31922,,,,,,,,,,,
inflow,Turkey,2019,42351,,,,,,,,,,,
inflow,United Kingdom,2000,906,,,,,,,,,,,
inflow,United Kingdom,2001,1141,,,,,,,,,,,
inflow,United Kingdom,2009,4000,,,,,,,,,,,
inflow,United Kingdom,2011,2000,,,,,,,,,,,
inflow,United Kingdom,2012,1000,,,,,,,,,,,
inflow,United Kingdom,2014,1000,,,,,,,,,,,
outflow,United Kingdom,2000,493,,,,,,,,,,,
outflow,United Kingdom,2001,130,,,,,,,,,,,
outflow,United Kingdom,2011,1000,,,,,,,,,,,
outflow,United Kingdom,2015,1000,,,,,,,,,,,
inflow,United States,2000,8487,,,,,,,,,,,
inflow,United States,2001,10425,,,,,,,,,,,
inflow,United States,2002,12960,,,,,,,,,,,
inflow,United States,2003,7230,,,,,,,,,,,
inflow,United States,2004,10434,,,,,,,,,,,
inflow,United States,2005,13887,,,,,,,,,,,
inflow,United States,2006,13947,,,,,,,,,,,
inflow,United States,2007,10460,,,,,,,,,,,
inflow,United States,2008,13852,,,,,,,,,,,
inflow,United States,2009,18553,,,,,,,,,,,
inflow,United States,2010,14182,,,,,,,,,,,
inflow,United States,2011,14822,,,,,,,,,,,
inflow,United States,2012,12916,,,,,,,,,,,
inflow,United States,2013,12863,,,,,,,,,,,
inflow,United States,2014,11615,,,,,,,,,,,
inflow,United States,2015,13114,,,,,,,,,,,
inflow,United States,2016,13298,,,,,,,,,,,
inflow,United States,2017,13791,,,,,,,,,,,
inflow,United States,2018,10116,,,,,,,,,,,
inflow,United States,2019,5789,,,,,,,,,,,
inflow,Chile,2000,8,,,,,,,,,,,
inflow,Chile,2001,5,,,,,,,,,,,
inflow,Chile,2002,9,,,,,,,,,,,
inflow,Chile,2003,1,,,,,,,,,,,
inflow,Chile,2004,3,,,,,,,,,,,
inflow,Chile,2005,10,,,,,,,,,,,
inflow,Chile,2006,7,,,,,,,,,,,
inflow,Chile,2007,7,,,,,,,,,,,
inflow,Chile,2008,6,,,,,,,,,,,
inflow,Chile,2009,5,,,,,,,,,,,
inflow,Chile,2010,2,,,,,,,,,,,
inflow,Chile,2011,6,,,,,,,,,,,
inflow,Chile,2012,7,,,,,,,,,,,
inflow,Chile,2013,20,,,,,,,,,,,
inflow,Chile,2014,21,,,,,,,,,,,
inflow,Chile,2015,29,,,,,,,,,,,
inflow,Chile,2016,20,,,,,,,,,,,
inflow,Estonia,2004,0,,,,,,,,,,,
inflow,Estonia,2005,0,,,,,,,,,,,
inflow,Estonia,2006,0,,,,,,,,,,,
inflow,Estonia,2007,0,,,,,,,,,,,
inflow,Estonia,2008,3,,,,,,,,,,,
inflow,Estonia,2009,2,,,,,,,,,,,
inflow,Estonia,2010,2,,,,,,,,,,,
inflow,Estonia,2011,5,,,,,,,,,,,
inflow,Estonia,2012,5,,,,,,,,,,,
inflow,Estonia,2013,10,,,,,,,,,,,
inflow,Estonia,2014,5,,,,,,,,,,,
inflow,Estonia,2015,22,,,,,,,,,,,
inflow,Estonia,2016,25,,,,,,,,,,,
inflow,Estonia,2017,33,,,,,,,,,,,
inflow,Estonia,2018,68,,,,,,,,,,,
inflow,Estonia,2019,154,,,,,,,,,,,
outflow,Estonia,2019,16,,,,,,,,,,,
inflow,Israel,2000,420,,,,,,,,,,,
inflow,Israel,2001,234,,,,,,,,,,,
inflow,Israel,2002,182,,,,,,,,,,,
inflow,Israel,2003,121,,,,,,,,,,,
inflow,Israel,2004,143,,,,,,,,,,,
inflow,Israel,2005,123,,,,,,,,,,,
inflow,Israel,2006,74,,,,,,,,,,,
inflow,Israel,2007,184,,,,,,,,,,,
inflow,Israel,2008,48,,,,,,,,,,,
inflow,Israel,2009,45,,,,,,,,,,,
inflow,Israel,2010,39,,,,,,,,,,,
inflow,Israel,2011,46,,,,,,,,,,,
inflow,Israel,2012,37,,,,,,,,,,,
inflow,Israel,2013,82,,,,,,,,,,,
inflow,Israel,2014,27,,,,,,,,,,,
inflow,Israel,2015,35,,,,,,,,,,,
inflow,Israel,2016,34,,,,,,,,,,,
inflow,Israel,2017,18,,,,,,,,,,,
inflow,Israel,2018,76,,,,,,,,,,,
inflow,Israel,2019,67,,,,,,,,,,,
inflow,Slovenia,2007,5,,,,,,,,,,,
inflow,Slovenia,2008,12,,,,,,,,,,,
inflow,Slovenia,2009,4,,,,,,,,,,,
inflow,Slovenia,2010,7,,,,,,,,,,,
inflow,Slovenia,2011,8,,,,,,,,,,,
inflow,Slovenia,2012,11,,,,,,,,,,,
inflow,Slovenia,2013,9,,,,,,,,,,,
inflow,Slovenia,2014,19,,,,,,,,,,,
inflow,Slovenia,2015,28,,,,,,,,,,,
inflow,Slovenia,2016,23,,,,,,,,,,,
inflow,Slovenia,2017,21,,,,,,,,,,,
inflow,Slovenia,2018,24,,,,,,,,,,,
inflow,Slovenia,2019,67,,,,,,,,,,,
outflow,Slovenia,2012,1,,,,,,,,,,,
outflow,Slovenia,2014,2,,,,,,,,,,,
outflow,Slovenia,2015,3,,,,,,,,,,,
outflow,Slovenia,2019,14,,,,,,,,,,,
inflow,Latvia,2014,1,,,,,,,,,,,
inflow,Latvia,2017,2,,,,,,,,,,,
inflow,Latvia,2018,10,,,,,,,,,,,
inflow,Latvia,2019,6,,,,,,,,,,,
outflow,Turkey,2016,5695,,,,,,,,,,,
outflow,Turkey,2017,5065,,,,,,,,,,,
outflow,Turkey,2018,9242,,,,,,,,,,,
outflow,Turkey,2019,18004,,,,,,,,,,,
