CO2,Country of birth/nationality,Variable,Gender,Country,Year,Value,
IRN,Iran,Inflows of foreign population by nationality,Total,Czech Republic,2018,189,
IRN,Iran,Inflows of foreign population by nationality,Total,Czech Republic,2019,241,
IRN,Iran,Inflows of foreign population by nationality,Total,Denmark,2000,401,
IRN,Iran,Inflows of foreign population by nationality,Total,Denmark,2001,348,
IRN,Iran,Inflows of foreign population by nationality,Total,Denmark,2002,463,
IRN,Iran,Inflows of foreign population by nationality,Total,Denmark,2003,241,
IRN,Iran,Inflows of foreign population by nationality,Total,Denmark,2004,193,
IRN,Iran,Inflows of foreign population by nationality,Total,Denmark,2005,197,
IRN,Iran,Inflows of foreign population by nationality,Total,Denmark,2006,281,
IRN,Iran,Inflows of foreign population by nationality,Total,Denmark,2007,130,
IRN,Iran,Inflows of foreign population by nationality,Total,Denmark,2008,210,
IRN,Iran,Inflows of foreign population by nationality,Total,Denmark,2009,296,
IRN,Iran,Inflows of foreign population by nationality,Total,Denmark,2010,461,
IRN,Iran,Inflows of foreign population by nationality,Total,Denmark,2011,567,
IRN,Iran,Inflows of foreign population by nationality,Total,Denmark,2012,592,
IRN,Iran,Inflows of foreign population by nationality,Total,Denmark,2013,931,
IRN,Iran,Inflows of foreign population by nationality,Total,Denmark,2014,939,
IRN,Iran,Inflows of foreign population by nationality,Total,Denmark,2015,0,
IRN,Iran,Inflows of foreign population by nationality,Total,Denmark,2016,819,
IRN,Iran,Inflows of foreign population by nationality,Total,Denmark,2017,1273,
IRN,Iran,Inflows of foreign population by nationality,Total,Denmark,2018,624,
IRN,Iran,Inflows of foreign population by nationality,Total,Denmark,2019,543,
IRN,Iran,Inflows of foreign population by nationality,Total,Finland,2000,160,
IRN,Iran,Inflows of foreign population by nationality,Total,Finland,2001,256,
IRN,Iran,Inflows of foreign population by nationality,Total,Finland,2002,237,
IRN,Iran,Inflows of foreign population by nationality,Total,Finland,2003,257,
IRN,Iran,Inflows of foreign population by nationality,Total,Finland,2004,232,
IRN,Iran,Inflows of foreign population by nationality,Total,Finland,2005,215,
IRN,Iran,Inflows of foreign population by nationality,Total,Finland,2006,221,
IRN,Iran,Inflows of foreign population by nationality,Total,Finland,2007,189,
IRN,Iran,Inflows of foreign population by nationality,Total,Finland,2008,231,
IRN,Iran,Inflows of foreign population by nationality,Total,Finland,2009,150,
IRN,Iran,Inflows of foreign population by nationality,Total,Finland,2010,209,
IRN,Iran,Inflows of foreign population by nationality,Total,Finland,2011,268,
IRN,Iran,Inflows of foreign population by nationality,Total,Finland,2012,333,
IRN,Iran,Inflows of foreign population by nationality,Total,Finland,2013,403,
IRN,Iran,Inflows of foreign population by nationality,Total,Finland,2014,414,
IRN,Iran,Inflows of foreign population by nationality,Total,Finland,2015,265,
IRN,Iran,Inflows of foreign population by nationality,Total,Finland,2016,440,
IRN,Iran,Inflows of foreign population by nationality,Total,Finland,2017,337,
IRN,Iran,Inflows of foreign population by nationality,Total,Finland,2018,282,
IRN,Iran,Inflows of foreign population by nationality,Total,Finland,2019,420,
IRN,Iran,Inflows of foreign population by nationality,Total,France,2000,488,
IRN,Iran,Inflows of foreign population by nationality,Total,France,2001,502,
IRN,Iran,Inflows of foreign population by nationality,Total,France,2002,510,
IRN,Iran,Inflows of foreign population by nationality,Total,France,2003,503,
IRN,Iran,Inflows of foreign population by nationality,Total,France,2004,479,
IRN,Iran,Inflows of foreign population by nationality,Total,France,2005,379,
IRN,Iran,Inflows of foreign population by nationality,Total,France,2006,529,
IRN,Iran,Inflows of foreign population by nationality,Total,France,2007,461,
IRN,Iran,Inflows of foreign population by nationality,Total,France,2008,405,
IRN,Iran,Inflows of foreign population by nationality,Total,France,2009,478,
IRN,Iran,Inflows of foreign population by nationality,Total,France,2010,599,
IRN,Iran,Inflows of foreign population by nationality,Total,France,2011,542,
IRN,Iran,Inflows of foreign population by nationality,Total,France,2012,567,
IRN,Iran,Inflows of foreign population by nationality,Total,France,2013,576,
IRN,Iran,Inflows of foreign population by nationality,Total,France,2014,404,
