CO2,Country of birth/nationality,Variable,Gender,Country,Year,Value,
IRN,Iran,Inflows of foreign population by nationality,Total,Slovak Republic,2016,4,
IRN,Iran,Inflows of foreign population by nationality,Total,Slovak Republic,2017,3,
IRN,Iran,Inflows of foreign population by nationality,Total,Slovak Republic,2018,5,
IRN,Iran,Inflows of foreign population by nationality,Total,Slovak Republic,2019,11,
IRN,Iran,Inflows of foreign population by nationality,Total,Spain,2000,236,
IRN,Iran,Inflows of foreign population by nationality,Total,Spain,2001,223,
IRN,Iran,Inflows of foreign population by nationality,Total,Spain,2002,177,
IRN,Iran,Inflows of foreign population by nationality,Total,Spain,2003,212,
IRN,Iran,Inflows of foreign population by nationality,Total,Spain,2004,313,
IRN,Iran,Inflows of foreign population by nationality,Total,Spain,2005,266,
IRN,Iran,Inflows of foreign population by nationality,Total,Spain,2006,304,
IRN,Iran,Inflows of foreign population by nationality,Total,Spain,2007,297,
IRN,Iran,Inflows of foreign population by nationality,Total,Spain,2008,280,
IRN,Iran,Inflows of foreign population by nationality,Total,Spain,2009,291,
IRN,Iran,Inflows of foreign population by nationality,Total,Spain,2010,363,
IRN,Iran,Inflows of foreign population by nationality,Total,Spain,2011,490,
IRN,Iran,Inflows of foreign population by nationality,Total,Spain,2012,616,
IRN,Iran,Inflows of foreign population by nationality,Total,Spain,2013,456,
IRN,Iran,Inflows of foreign population by nationality,Total,Spain,2014,485,
IRN,Iran,Inflows of foreign population by nationality,Total,Spain,2015,549,
IRN,Iran,Inflows of foreign population by nationality,Total,Spain,2016,737,
IRN,Iran,Inflows of foreign population by nationality,Total,Spain,2017,1478,
IRN,Iran,Inflows of foreign population by nationality,Total,Spain,2018,0,
IRN,Iran,Inflows of foreign population by nationality,Total,Spain,2019,0,
IRN,Iran,Inflows of foreign population by nationality,Total,Sweden,2000,1106,
IRN,Iran,Inflows of foreign population by nationality,Total,Sweden,2001,1301,
IRN,Iran,Inflows of foreign population by nationality,Total,Sweden,2002,1365,
IRN,Iran,Inflows of foreign population by nationality,Total,Sweden,2003,1016,
IRN,Iran,Inflows of foreign population by nationality,Total,Sweden,2004,1477,
IRN,Iran,Inflows of foreign population by nationality,Total,Sweden,2005,1063,
IRN,Iran,Inflows of foreign population by nationality,Total,Sweden,2006,2008,
IRN,Iran,Inflows of foreign population by nationality,Total,Sweden,2007,1427,
IRN,Iran,Inflows of foreign population by nationality,Total,Sweden,2008,1766,
IRN,Iran,Inflows of foreign population by nationality,Total,Sweden,2009,2416,
IRN,Iran,Inflows of foreign population by nationality,Total,Sweden,2010,2820,
IRN,Iran,Inflows of foreign population by nationality,Total,Sweden,2011,2168,
IRN,Iran,Inflows of foreign population by nationality,Total,Sweden,2012,2111,
IRN,Iran,Inflows of foreign population by nationality,Total,Sweden,2013,1988,
IRN,Iran,Inflows of foreign population by nationality,Total,Sweden,2014,1744,
IRN,Iran,Inflows of foreign population by nationality,Total,Sweden,2015,1334,
IRN,Iran,Inflows of foreign population by nationality,Total,Sweden,2016,1702,
IRN,Iran,Inflows of foreign population by nationality,Total,Sweden,2017,2348,
IRN,Iran,Inflows of foreign population by nationality,Total,Sweden,2018,2504,
IRN,Iran,Inflows of foreign population by nationality,Total,Sweden,2019,2300,
IRN,Iran,Inflows of foreign population by nationality,Total,Switzerland,2010,522,
IRN,Iran,Inflows of foreign population by nationality,Total,Switzerland,2011,524,
IRN,Iran,Inflows of foreign population by nationality,Total,Switzerland,2012,467,
IRN,Iran,Inflows of foreign population by nationality,Total,Switzerland,2013,437,
IRN,Iran,Inflows of foreign population by nationality,Total,Switzerland,2014,386,
IRN,Iran,Inflows of foreign population by nationality,Total,Switzerland,2015,440,
IRN,Iran,Inflows of foreign population by nationality,Total,Switzerland,2016,439,
IRN,Iran,Inflows of foreign population by nationality,Total,Switzerland,2017,485,
IRN,Iran,Inflows of foreign population by nationality,Total,Switzerland,2018,606,
IRN,Iran,Inflows of foreign population by nationality,Total,Switzerland,2019,545,
IRN,Iran,Inflows of foreign population by nationality,Total,Turkey,2010,1539,
IRN,Iran,Inflows of foreign population by nationality,Total,Turkey,2016,15539,
IRN,Iran,Inflows of foreign population by nationality,Total,Turkey,2017,17794,
IRN,Iran,Inflows of foreign population by nationality,Total,Turkey,2018,31922,
IRN,Iran,Inflows of foreign population by nationality,Total,Turkey,2019,42351,
IRN,Iran,Inflows of foreign population by nationality,Total,United Kingdom,2000,906,
IRN,Iran,Inflows of foreign population by nationality,Total,United Kingdom,2001,1141,
IRN,Iran,Inflows of foreign population by nationality,Total,United Kingdom,2009,4000,
IRN,Iran,Inflows of foreign population by nationality,Total,United Kingdom,2011,2000,
IRN,Iran,Inflows of foreign population by nationality,Total,United Kingdom,2012,1000,
IRN,Iran,Inflows of foreign population by nationality,Total,United Kingdom,2014,1000,
IRN,Iran,Inflows of foreign population by nationality,Total,United States,2000,8487,
IRN,Iran,Inflows of foreign population by nationality,Total,United States,2001,10425,
IRN,Iran,Inflows of foreign population by nationality,Total,United States,2002,12960,
IRN,Iran,Inflows of foreign population by nationality,Total,United States,2003,7230,
IRN,Iran,Inflows of foreign population by nationality,Total,United States,2004,10434,
IRN,Iran,Inflows of foreign population by nationality,Total,United States,2005,13887,
IRN,Iran,Inflows of foreign population by nationality,Total,United States,2006,13947,
IRN,Iran,Inflows of foreign population by nationality,Total,United States,2007,10460,
IRN,Iran,Inflows of foreign population by nationality,Total,United States,2008,13852,
IRN,Iran,Inflows of foreign population by nationality,Total,United States,2009,18553,
IRN,Iran,Inflows of foreign population by nationality,Total,United States,2010,14182,
IRN,Iran,Inflows of foreign population by nationality,Total,United States,2011,14822,
IRN,Iran,Inflows of foreign population by nationality,Total,United States,2012,12916,
IRN,Iran,Inflows of foreign population by nationality,Total,United States,2013,12863,
IRN,Iran,Inflows of foreign population by nationality,Total,United States,2014,11615,
IRN,Iran,Inflows of foreign population by nationality,Total,United States,2015,13114,
IRN,Iran,Inflows of foreign population by nationality,Total,United States,2016,13298,
IRN,Iran,Inflows of foreign population by nationality,Total,United States,2017,13791,
IRN,Iran,Inflows of foreign population by nationality,Total,United States,2018,10116,
IRN,Iran,Inflows of foreign population by nationality,Total,United States,2019,5789,
IRN,Iran,Inflows of foreign population by nationality,Total,Chile,2000,8,
IRN,Iran,Inflows of foreign population by nationality,Total,Chile,2001,5,
IRN,Iran,Inflows of foreign population by nationality,Total,Chile,2002,9,
IRN,Iran,Inflows of foreign population by nationality,Total,Chile,2003,1,
IRN,Iran,Inflows of foreign population by nationality,Total,Chile,2004,3,
IRN,Iran,Inflows of foreign population by nationality,Total,Chile,2005,10,
IRN,Iran,Inflows of foreign population by nationality,Total,Chile,2006,7,
IRN,Iran,Inflows of foreign population by nationality,Total,Chile,2007,7,
IRN,Iran,Inflows of foreign population by nationality,Total,Chile,2008,6,
IRN,Iran,Inflows of foreign population by nationality,Total,Chile,2009,5,
IRN,Iran,Inflows of foreign population by nationality,Total,Chile,2010,2,
IRN,Iran,Inflows of foreign population by nationality,Total,Chile,2011,6,
IRN,Iran,Inflows of foreign population by nationality,Total,Chile,2012,7,
IRN,Iran,Inflows of foreign population by nationality,Total,Chile,2013,20,
IRN,Iran,Inflows of foreign population by nationality,Total,Chile,2014,21,
IRN,Iran,Inflows of foreign population by nationality,Total,Chile,2015,29,
IRN,Iran,Inflows of foreign population by nationality,Total,Chile,2016,20,
IRN,Iran,Inflows of foreign population by nationality,Total,Estonia,2004,0,
IRN,Iran,Inflows of foreign population by nationality,Total,Estonia,2005,0,
IRN,Iran,Inflows of foreign population by nationality,Total,Estonia,2006,0,
IRN,Iran,Inflows of foreign population by nationality,Total,Estonia,2007,0,
IRN,Iran,Inflows of foreign population by nationality,Total,Estonia,2008,3,
IRN,Iran,Inflows of foreign population by nationality,Total,Estonia,2009,2,
IRN,Iran,Inflows of foreign population by nationality,Total,Estonia,2010,2,
IRN,Iran,Inflows of foreign population by nationality,Total,Estonia,2011,5,
IRN,Iran,Inflows of foreign population by nationality,Total,Estonia,2012,5,
IRN,Iran,Inflows of foreign population by nationality,Total,Estonia,2013,10,
IRN,Iran,Inflows of foreign population by nationality,Total,Estonia,2014,5,
IRN,Iran,Inflows of foreign population by nationality,Total,Estonia,2015,22,
IRN,Iran,Inflows of foreign population by nationality,Total,Estonia,2016,25,
IRN,Iran,Inflows of foreign population by nationality,Total,Estonia,2017,33,
IRN,Iran,Inflows of foreign population by nationality,Total,Estonia,2018,68,
IRN,Iran,Inflows of foreign population by nationality,Total,Estonia,2019,154,
IRN,Iran,Inflows of foreign population by nationality,Total,Israel,2000,420,
IRN,Iran,Inflows of foreign population by nationality,Total,Israel,2001,234,
IRN,Iran,Inflows of foreign population by nationality,Total,Israel,2002,182,
IRN,Iran,Inflows of foreign population by nationality,Total,Israel,2003,121,
IRN,Iran,Inflows of foreign population by nationality,Total,Israel,2004,143,
IRN,Iran,Inflows of foreign population by nationality,Total,Israel,2005,123,
IRN,Iran,Inflows of foreign population by nationality,Total,Israel,2006,74,
IRN,Iran,Inflows of foreign population by nationality,Total,Israel,2007,184,
IRN,Iran,Inflows of foreign population by nationality,Total,Israel,2008,48,
IRN,Iran,Inflows of foreign population by nationality,Total,Israel,2009,45,
IRN,Iran,Inflows of foreign population by nationality,Total,Israel,2010,39,
IRN,Iran,Inflows of foreign population by nationality,Total,Israel,2011,46,
IRN,Iran,Inflows of foreign population by nationality,Total,Israel,2012,37,
IRN,Iran,Inflows of foreign population by nationality,Total,Israel,2013,82,
IRN,Iran,Inflows of foreign population by nationality,Total,Israel,2014,27,
IRN,Iran,Inflows of foreign population by nationality,Total,Israel,2015,35,
IRN,Iran,Inflows of foreign population by nationality,Total,Israel,2016,34,
IRN,Iran,Inflows of foreign population by nationality,Total,Israel,2017,18,
IRN,Iran,Inflows of foreign population by nationality,Total,Israel,2018,76,
IRN,Iran,Inflows of foreign population by nationality,Total,Israel,2019,67,
IRN,Iran,Inflows of foreign population by nationality,Total,Slovenia,2007,5,
IRN,Iran,Inflows of foreign population by nationality,Total,Slovenia,2008,12,
IRN,Iran,Inflows of foreign population by nationality,Total,Slovenia,2009,4,
IRN,Iran,Inflows of foreign population by nationality,Total,Slovenia,2010,7,
IRN,Iran,Inflows of foreign population by nationality,Total,Slovenia,2011,8,
IRN,Iran,Inflows of foreign population by nationality,Total,Slovenia,2012,11,
IRN,Iran,Inflows of foreign population by nationality,Total,Slovenia,2013,9,
IRN,Iran,Inflows of foreign population by nationality,Total,Slovenia,2014,19,
IRN,Iran,Inflows of foreign population by nationality,Total,Slovenia,2015,28,
IRN,Iran,Inflows of foreign population by nationality,Total,Slovenia,2016,23,
IRN,Iran,Inflows of foreign population by nationality,Total,Slovenia,2017,21,
IRN,Iran,Inflows of foreign population by nationality,Total,Slovenia,2018,24,
IRN,Iran,Inflows of foreign population by nationality,Total,Slovenia,2019,67,
IRN,Iran,Inflows of foreign population by nationality,Total,Latvia,2014,1,
IRN,Iran,Inflows of foreign population by nationality,Total,Latvia,2017,2,
IRN,Iran,Inflows of foreign population by nationality,Total,Latvia,2018,10,
IRN,Iran,Inflows of foreign population by nationality,Total,Latvia,2019,6,
