CO2,Country of birth/nationality,Variable,Gender,Country,Year,Value
IRN,Iran,Outflows of foreign population by nationality,Women,Austria,2002,352
IRN,Iran,Outflows of foreign population by nationality,Women,Austria,2003,426
IRN,Iran,Outflows of foreign population by nationality,Women,Austria,2004,416
IRN,Iran,Outflows of foreign population by nationality,Women,Austria,2005,433
IRN,Iran,Outflows of foreign population by nationality,Women,Austria,2006,842
IRN,Iran,Outflows of foreign population by nationality,Women,Austria,2007,740
IRN,Iran,Outflows of foreign population by nationality,Women,Austria,2008,788
IRN,Iran,Outflows of foreign population by nationality,Women,Austria,2009,822
IRN,Iran,Outflows of foreign population by nationality,Women,Austria,2010,646
IRN,Iran,Outflows of foreign population by nationality,Women,Austria,2011,551
IRN,Iran,Outflows of foreign population by nationality,Women,Austria,2012,472
IRN,Iran,Outflows of foreign population by nationality,Women,Austria,2013,808
IRN,Iran,Outflows of foreign population by nationality,Women,Austria,2014,955
IRN,Iran,Outflows of foreign population by nationality,Women,Austria,2015,667
IRN,Iran,Outflows of foreign population by nationality,Women,Austria,2016,953
IRN,Iran,Outflows of foreign population by nationality,Women,Austria,2017,736
IRN,Iran,Outflows of foreign population by nationality,Women,Austria,2018,397
IRN,Iran,Outflows of foreign population by nationality,Women,Austria,2019,335
IRN,Iran,Inflows of foreign population by nationality,Total,Austria,2000,2466
IRN,Iran,Inflows of foreign population by nationality,Total,Austria,2001,1060
IRN,Iran,Inflows of foreign population by nationality,Total,Austria,2002,1007
IRN,Iran,Inflows of foreign population by nationality,Total,Austria,2003,1152
IRN,Iran,Inflows of foreign population by nationality,Total,Austria,2004,1008
IRN,Iran,Inflows of foreign population by nationality,Total,Austria,2005,1033
IRN,Iran,Inflows of foreign population by nationality,Total,Austria,2006,2161
IRN,Iran,Inflows of foreign population by nationality,Total,Austria,2007,2004
IRN,Iran,Inflows of foreign population by nationality,Total,Austria,2008,1701
IRN,Iran,Inflows of foreign population by nationality,Total,Austria,2009,1872
IRN,Iran,Inflows of foreign population by nationality,Total,Austria,2010,1627
IRN,Iran,Inflows of foreign population by nationality,Total,Austria,2011,1349
IRN,Iran,Inflows of foreign population by nationality,Total,Austria,2012,2409
IRN,Iran,Inflows of foreign population by nationality,Total,Austria,2013,2595
IRN,Iran,Inflows of foreign population by nationality,Total,Austria,2014,2612
IRN,Iran,Inflows of foreign population by nationality,Total,Austria,2015,4673
IRN,Iran,Inflows of foreign population by nationality,Total,Austria,2016,4678
IRN,Iran,Inflows of foreign population by nationality,Total,Austria,2017,1806
IRN,Iran,Inflows of foreign population by nationality,Total,Austria,2018,1699
IRN,Iran,Inflows of foreign population by nationality,Total,Austria,2019,1400
IRN,Iran,Outflows of foreign population by nationality,Total,Austria,2000,2056
IRN,Iran,Outflows of foreign population by nationality,Total,Austria,2001,1350
IRN,Iran,Outflows of foreign population by nationality,Total,Austria,2002,810
IRN,Iran,Outflows of foreign population by nationality,Total,Austria,2003,943
IRN,Iran,Outflows of foreign population by nationality,Total,Austria,2004,881
IRN,Iran,Outflows of foreign population by nationality,Total,Austria,2005,902
IRN,Iran,Outflows of foreign population by nationality,Total,Austria,2006,1722
IRN,Iran,Outflows of foreign population by nationality,Total,Austria,2007,1506
IRN,Iran,Outflows of foreign population by nationality,Total,Austria,2008,1657
IRN,Iran,Outflows of foreign population by nationality,Total,Austria,2009,1649
IRN,Iran,Outflows of foreign population by nationality,Total,Austria,2010,1373
IRN,Iran,Outflows of foreign population by nationality,Total,Austria,2011,1108
IRN,Iran,Outflows of foreign population by nationality,Total,Austria,2012,1007
IRN,Iran,Outflows of foreign population by nationality,Total,Austria,2013,1679
IRN,Iran,Outflows of foreign population by nationality,Total,Austria,2014,1982
IRN,Iran,Outflows of foreign population by nationality,Total,Austria,2015,1399
IRN,Iran,Outflows of foreign population by nationality,Total,Austria,2016,2396
IRN,Iran,Outflows of foreign population by nationality,Total,Austria,2017,1726
IRN,Iran,Outflows of foreign population by nationality,Total,Austria,2018,995
IRN,Iran,Outflows of foreign population by nationality,Total,Austria,2019,867
IRN,Iran,Inflows of foreign population by nationality,Women,Belgium,2008,140
IRN,Iran,Inflows of foreign population by nationality,Women,Belgium,2009,169
IRN,Iran,Inflows of foreign population by nationality,Women,Belgium,2010,197
IRN,Iran,Inflows of foreign population by nationality,Women,Belgium,2011,209
IRN,Iran,Inflows of foreign population by nationality,Women,Belgium,2012,306
IRN,Iran,Inflows of foreign population by nationality,Women,Belgium,2013,225
IRN,Iran,Inflows of foreign population by nationality,Women,Belgium,2014,181
IRN,Iran,Inflows of foreign population by nationality,Women,Belgium,2015,239
IRN,Iran,Inflows of foreign population by nationality,Women,Belgium,2016,205
IRN,Iran,Inflows of foreign population by nationality,Women,Belgium,2017,235
IRN,Iran,Inflows of foreign population by nationality,Women,Belgium,2018,352
IRN,Iran,Inflows of foreign population by nationality,Women,Belgium,2019,446
