Country of birth/nationality,Variable,Gender,Country,Year,Value
Iran,Inflows of foreign population by nationality,Total,Belgium,2019,1093
Iran,Inflows of foreign population by nationality,Women,Canada,2000,2738
Iran,Inflows of foreign population by nationality,Women,Canada,2001,2806
Iran,Inflows of foreign population by nationality,Women,Canada,2002,3817
Iran,Inflows of foreign population by nationality,Women,Canada,2003,3033
Iran,Inflows of foreign population by nationality,Women,Canada,2004,3200
Iran,Inflows of foreign population by nationality,Women,Canada,2005,2947
Iran,Inflows of foreign population by nationality,Women,Canada,2006,3710
Iran,Inflows of foreign population by nationality,Women,Canada,2007,3493
Iran,Inflows of foreign population by nationality,Women,Canada,2008,3303
Iran,Inflows of foreign population by nationality,Women,Canada,2009,3307
Iran,Inflows of foreign population by nationality,Women,Canada,2010,3645
Iran,Inflows of foreign population by nationality,Women,Canada,2011,3723
Iran,Inflows of foreign population by nationality,Women,Canada,2012,3746
Iran,Inflows of foreign population by nationality,Women,Canada,2013,5925
Iran,Inflows of foreign population by nationality,Women,Canada,2014,8494
Iran,Inflows of foreign population by nationality,Women,Canada,2015,5785
Iran,Inflows of foreign population by nationality,Women,Canada,2016,3345
Iran,Inflows of foreign population by nationality,Women,Canada,2017,2510
Iran,Inflows of foreign population by nationality,Women,Canada,2018,2775
Iran,Inflows of foreign population by nationality,Women,Canada,2019,3130
Iran,Inflows of foreign population by nationality,Total,Canada,2000,5617
Iran,Inflows of foreign population by nationality,Total,Canada,2001,5746
Iran,Inflows of foreign population by nationality,Total,Canada,2002,7889
Iran,Inflows of foreign population by nationality,Total,Canada,2003,5918
Iran,Inflows of foreign population by nationality,Total,Canada,2004,6348
Iran,Inflows of foreign population by nationality,Total,Canada,2005,5837
Iran,Inflows of foreign population by nationality,Total,Canada,2006,7480
Iran,Inflows of foreign population by nationality,Total,Canada,2007,6974
Iran,Inflows of foreign population by nationality,Total,Canada,2008,6474
Iran,Inflows of foreign population by nationality,Total,Canada,2009,6580
Iran,Inflows of foreign population by nationality,Total,Canada,2010,7477
Iran,Inflows of foreign population by nationality,Total,Canada,2011,7479
Iran,Inflows of foreign population by nationality,Total,Canada,2012,7525
Iran,Inflows of foreign population by nationality,Total,Canada,2013,11288
Iran,Inflows of foreign population by nationality,Total,Canada,2014,16772
Iran,Inflows of foreign population by nationality,Total,Canada,2015,11668
Iran,Inflows of foreign population by nationality,Total,Canada,2016,6485
Iran,Inflows of foreign population by nationality,Total,Canada,2017,4735
Iran,Inflows of foreign population by nationality,Total,Canada,2018,5510
Iran,Inflows of foreign population by nationality,Total,Canada,2019,6055
Iran,Inflows of foreign population by nationality,Women,Czech Republic,2003,5
Iran,Inflows of foreign population by nationality,Women,Czech Republic,2004,6
Iran,Inflows of foreign population by nationality,Women,Czech Republic,2005,7
Iran,Inflows of foreign population by nationality,Women,Czech Republic,2006,11
Iran,Inflows of foreign population by nationality,Women,Czech Republic,2007,23
Iran,Inflows of foreign population by nationality,Women,Czech Republic,2008,21
Iran,Inflows of foreign population by nationality,Women,Czech Republic,2009,26
Iran,Inflows of foreign population by nationality,Women,Czech Republic,2010,37
Iran,Inflows of foreign population by nationality,Women,Czech Republic,2011,14
Iran,Inflows of foreign population by nationality,Women,Czech Republic,2012,12
Iran,Inflows of foreign population by nationality,Women,Czech Republic,2013,25
Iran,Inflows of foreign population by nationality,Women,Czech Republic,2014,34
Iran,Inflows of foreign population by nationality,Women,Czech Republic,2015,30
Iran,Inflows of foreign population by nationality,Women,Czech Republic,2016,42
Iran,Inflows of foreign population by nationality,Women,Czech Republic,2017,66
Iran,Inflows of foreign population by nationality,Women,Czech Republic,2018,90
Iran,Inflows of foreign population by nationality,Women,Czech Republic,2019,118
Iran,Inflows of foreign population by nationality,Total,Czech Republic,2003,25
Iran,Inflows of foreign population by nationality,Total,Czech Republic,2004,16
Iran,Inflows of foreign population by nationality,Total,Czech Republic,2005,26
Iran,Inflows of foreign population by nationality,Total,Czech Republic,2006,38
Iran,Inflows of foreign population by nationality,Total,Czech Republic,2007,68
Iran,Inflows of foreign population by nationality,Total,Czech Republic,2008,54
Iran,Inflows of foreign population by nationality,Total,Czech Republic,2009,64
Iran,Inflows of foreign population by nationality,Total,Czech Republic,2010,79
Iran,Inflows of foreign population by nationality,Total,Czech Republic,2011,27
Iran,Inflows of foreign population by nationality,Total,Czech Republic,2012,35
Iran,Inflows of foreign population by nationality,Total,Czech Republic,2013,58
Iran,Inflows of foreign population by nationality,Total,Czech Republic,2014,63
Iran,Inflows of foreign population by nationality,Total,Czech Republic,2015,66
Iran,Inflows of foreign population by nationality,Total,Czech Republic,2016,73
Iran,Inflows of foreign population by nationality,Total,Czech Republic,2017,127
Iran,Inflows of foreign population by nationality,Total,Czech Republic,2018,189
Iran,Inflows of foreign population by nationality,Total,Czech Republic,2019,241
Iran,Inflows of foreign population by nationality,Women,Denmark,2007,65
Iran,Inflows of foreign population by nationality,Women,Denmark,2008,85
Iran,Inflows of foreign population by nationality,Women,Denmark,2009,110
Iran,Inflows of foreign population by nationality,Women,Denmark,2010,176
Iran,Inflows of foreign population by nationality,Women,Denmark,2011,223
Iran,Inflows of foreign population by nationality,Women,Denmark,2012,249
Iran,Inflows of foreign population by nationality,Women,Denmark,2013,418
Iran,Inflows of foreign population by nationality,Women,Denmark,2014,428
Iran,Inflows of foreign population by nationality,Women,Denmark,2015,0
Iran,Inflows of foreign population by nationality,Women,Denmark,2016,321
Iran,Inflows of foreign population by nationality,Women,Denmark,2017,486
Iran,Inflows of foreign population by nationality,Women,Denmark,2018,292
Iran,Inflows of foreign population by nationality,Women,Denmark,2019,245
Iran,Inflows of foreign population by nationality,Total,Denmark,2000,401
Iran,Inflows of foreign population by nationality,Total,Denmark,2001,348
Iran,Inflows of foreign population by nationality,Total,Denmark,2002,463
Iran,Inflows of foreign population by nationality,Total,Denmark,2003,241
Iran,Inflows of foreign population by nationality,Total,Denmark,2004,193
Iran,Inflows of foreign population by nationality,Total,Denmark,2005,197
Iran,Inflows of foreign population by nationality,Total,Denmark,2006,281
Iran,Inflows of foreign population by nationality,Total,Denmark,2007,130
Iran,Inflows of foreign population by nationality,Total,Denmark,2008,210
Iran,Inflows of foreign population by nationality,Total,Denmark,2009,296
Iran,Inflows of foreign population by nationality,Total,Denmark,2010,461
Iran,Inflows of foreign population by nationality,Total,Denmark,2011,567
Iran,Inflows of foreign population by nationality,Total,Denmark,2012,592
Iran,Inflows of foreign population by nationality,Total,Denmark,2013,931
Iran,Inflows of foreign population by nationality,Total,Denmark,2014,939
Iran,Inflows of foreign population by nationality,Total,Denmark,2015,0
Iran,Inflows of foreign population by nationality,Total,Denmark,2016,819
Iran,Inflows of foreign population by nationality,Total,Denmark,2017,1273
Iran,Inflows of foreign population by nationality,Total,Denmark,2018,624
Iran,Inflows of foreign population by nationality,Total,Denmark,2019,543
Iran,Inflows of foreign population by nationality,Women,Finland,2000,65
Iran,Inflows of foreign population by nationality,Women,Finland,2001,124
Iran,Inflows of foreign population by nationality,Women,Finland,2002,94
Iran,Inflows of foreign population by nationality,Women,Finland,2003,129
Iran,Inflows of foreign population by nationality,Women,Finland,2004,106
Iran,Inflows of foreign population by nationality,Women,Finland,2005,103
Iran,Inflows of foreign population by nationality,Women,Finland,2006,112
Iran,Inflows of foreign population by nationality,Women,Finland,2007,88
Iran,Inflows of foreign population by nationality,Women,Finland,2008,108
Iran,Inflows of foreign population by nationality,Women,Finland,2009,60
Iran,Inflows of foreign population by nationality,Women,Finland,2010,79
Iran,Inflows of foreign population by nationality,Women,Finland,2011,104
Iran,Inflows of foreign population by nationality,Women,Finland,2012,136
Iran,Inflows of foreign population by nationality,Women,Finland,2013,170
Iran,Inflows of foreign population by nationality,Women,Finland,2014,193
Iran,Inflows of foreign population by nationality,Women,Finland,2015,133
Iran,Inflows of foreign population by nationality,Women,Finland,2016,171
Iran,Inflows of foreign population by nationality,Women,Finland,2017,156
Iran,Inflows of foreign population by nationality,Women,Finland,2018,135
Iran,Inflows of foreign population by nationality,Women,Finland,2019,204
Iran,Inflows of foreign population by nationality,Total,Finland,2000,160
Iran,Inflows of foreign population by nationality,Total,Finland,2001,256
Iran,Inflows of foreign population by nationality,Total,Finland,2002,237
Iran,Inflows of foreign population by nationality,Total,Finland,2003,257
Iran,Inflows of foreign population by nationality,Total,Finland,2004,232
Iran,Inflows of foreign population by nationality,Total,Finland,2005,215
Iran,Inflows of foreign population by nationality,Total,Finland,2006,221
Iran,Inflows of foreign population by nationality,Total,Finland,2007,189
Iran,Inflows of foreign population by nationality,Total,Finland,2008,231
Iran,Inflows of foreign population by nationality,Total,Finland,2009,150
Iran,Inflows of foreign population by nationality,Total,Finland,2010,209
Iran,Inflows of foreign population by nationality,Total,Finland,2011,268
Iran,Inflows of foreign population by nationality,Total,Finland,2012,333
Iran,Inflows of foreign population by nationality,Total,Finland,2013,403
Iran,Inflows of foreign population by nationality,Total,Finland,2014,414
Iran,Inflows of foreign population by nationality,Total,Finland,2015,265
Iran,Inflows of foreign population by nationality,Total,Finland,2016,440
Iran,Inflows of foreign population by nationality,Total,Finland,2017,337
Iran,Inflows of foreign population by nationality,Total,Finland,2018,282
Iran,Inflows of foreign population by nationality,Total,Finland,2019,420
Iran,Inflows of foreign population by nationality,Women,France,2006,296
