Country of birth/nationality,Variable,Gender,Country,Year,Value
Iran,Inflows of foreign population by nationality,Women,Korea,2004,49
Iran,Inflows of foreign population by nationality,Women,Korea,2005,52
Iran,Inflows of foreign population by nationality,Women,Korea,2006,50
Iran,Inflows of foreign population by nationality,Women,Korea,2007,62
Iran,Inflows of foreign population by nationality,Women,Korea,2008,72
Iran,Inflows of foreign population by nationality,Women,Korea,2009,46
Iran,Inflows of foreign population by nationality,Women,Korea,2010,76
Iran,Inflows of foreign population by nationality,Women,Korea,2011,94
Iran,Inflows of foreign population by nationality,Women,Korea,2012,94
Iran,Inflows of foreign population by nationality,Women,Korea,2013,96
Iran,Inflows of foreign population by nationality,Women,Korea,2014,97
Iran,Inflows of foreign population by nationality,Women,Korea,2015,113
Iran,Inflows of foreign population by nationality,Women,Korea,2016,110
Iran,Inflows of foreign population by nationality,Women,Korea,2017,191
Iran,Inflows of foreign population by nationality,Women,Korea,2018,163
Iran,Inflows of foreign population by nationality,Women,Korea,2019,147
Iran,Inflows of foreign population by nationality,Total,Korea,2000,1746
Iran,Inflows of foreign population by nationality,Total,Korea,2001,998
Iran,Inflows of foreign population by nationality,Total,Korea,2002,384
Iran,Inflows of foreign population by nationality,Total,Korea,2003,359
Iran,Inflows of foreign population by nationality,Total,Korea,2004,394
Iran,Inflows of foreign population by nationality,Total,Korea,2005,293
Iran,Inflows of foreign population by nationality,Total,Korea,2006,253
Iran,Inflows of foreign population by nationality,Total,Korea,2007,203
Iran,Inflows of foreign population by nationality,Total,Korea,2008,242
Iran,Inflows of foreign population by nationality,Total,Korea,2009,152
Iran,Inflows of foreign population by nationality,Total,Korea,2010,217
Iran,Inflows of foreign population by nationality,Total,Korea,2011,229
Iran,Inflows of foreign population by nationality,Total,Korea,2012,211
Iran,Inflows of foreign population by nationality,Total,Korea,2013,250
Iran,Inflows of foreign population by nationality,Total,Korea,2014,243
Iran,Inflows of foreign population by nationality,Total,Korea,2015,253
Iran,Inflows of foreign population by nationality,Total,Korea,2016,293
Iran,Inflows of foreign population by nationality,Total,Korea,2017,410
Iran,Inflows of foreign population by nationality,Total,Korea,2018,351
Iran,Inflows of foreign population by nationality,Total,Korea,2019,273
Iran,Inflows of foreign population by nationality,Women,Luxembourg,2006,10
Iran,Inflows of foreign population by nationality,Women,Luxembourg,2007,15
Iran,Inflows of foreign population by nationality,Women,Luxembourg,2008,9
Iran,Inflows of foreign population by nationality,Women,Luxembourg,2009,5
Iran,Inflows of foreign population by nationality,Women,Luxembourg,2010,23
Iran,Inflows of foreign population by nationality,Women,Luxembourg,2011,13
Iran,Inflows of foreign population by nationality,Women,Luxembourg,2012,16
Iran,Inflows of foreign population by nationality,Women,Luxembourg,2013,14
Iran,Inflows of foreign population by nationality,Women,Luxembourg,2014,8
Iran,Inflows of foreign population by nationality,Women,Luxembourg,2015,27
Iran,Inflows of foreign population by nationality,Women,Luxembourg,2016,18
Iran,Inflows of foreign population by nationality,Women,Luxembourg,2017,31
Iran,Inflows of foreign population by nationality,Women,Luxembourg,2018,40
Iran,Inflows of foreign population by nationality,Women,Luxembourg,2019,42
Iran,Inflows of foreign population by nationality,Total,Luxembourg,2000,20
Iran,Inflows of foreign population by nationality,Total,Luxembourg,2001,15
Iran,Inflows of foreign population by nationality,Total,Luxembourg,2002,15
Iran,Inflows of foreign population by nationality,Total,Luxembourg,2003,24
Iran,Inflows of foreign population by nationality,Total,Luxembourg,2004,26
Iran,Inflows of foreign population by nationality,Total,Luxembourg,2005,44
Iran,Inflows of foreign population by nationality,Total,Luxembourg,2006,32
Iran,Inflows of foreign population by nationality,Total,Luxembourg,2007,28
Iran,Inflows of foreign population by nationality,Total,Luxembourg,2008,30
Iran,Inflows of foreign population by nationality,Total,Luxembourg,2009,28
Iran,Inflows of foreign population by nationality,Total,Luxembourg,2010,50
Iran,Inflows of foreign population by nationality,Total,Luxembourg,2011,32
Iran,Inflows of foreign population by nationality,Total,Luxembourg,2012,48
Iran,Inflows of foreign population by nationality,Total,Luxembourg,2013,28
Iran,Inflows of foreign population by nationality,Total,Luxembourg,2014,22
Iran,Inflows of foreign population by nationality,Total,Luxembourg,2015,79
Iran,Inflows of foreign population by nationality,Total,Luxembourg,2016,55
Iran,Inflows of foreign population by nationality,Total,Luxembourg,2017,59
Iran,Inflows of foreign population by nationality,Total,Luxembourg,2018,75
Iran,Inflows of foreign population by nationality,Total,Luxembourg,2019,95
Iran,Inflows of foreign population by nationality,Women,Mexico,2007,8
Iran,Inflows of foreign population by nationality,Women,Mexico,2010,4
Iran,Inflows of foreign population by nationality,Women,Mexico,2011,9
Iran,Inflows of foreign population by nationality,Women,Mexico,2012,8
Iran,Inflows of foreign population by nationality,Women,Mexico,2013,12
Iran,Inflows of foreign population by nationality,Women,Mexico,2014,7
Iran,Inflows of foreign population by nationality,Women,Mexico,2015,13
Iran,Inflows of foreign population by nationality,Women,Mexico,2016,3
Iran,Inflows of foreign population by nationality,Women,Mexico,2017,9
Iran,Inflows of foreign population by nationality,Women,Mexico,2018,5
Iran,Inflows of foreign population by nationality,Women,Mexico,2019,1
Iran,Inflows of foreign population by nationality,Total,Mexico,2007,15
Iran,Inflows of foreign population by nationality,Total,Mexico,2008,12
Iran,Inflows of foreign population by nationality,Total,Mexico,2009,10
Iran,Inflows of foreign population by nationality,Total,Mexico,2010,12
Iran,Inflows of foreign population by nationality,Total,Mexico,2011,28
Iran,Inflows of foreign population by nationality,Total,Mexico,2012,15
Iran,Inflows of foreign population by nationality,Total,Mexico,2013,26
Iran,Inflows of foreign population by nationality,Total,Mexico,2014,20
Iran,Inflows of foreign population by nationality,Total,Mexico,2015,30
Iran,Inflows of foreign population by nationality,Total,Mexico,2016,16
Iran,Inflows of foreign population by nationality,Total,Mexico,2017,23
Iran,Inflows of foreign population by nationality,Total,Mexico,2018,12
Iran,Inflows of foreign population by nationality,Total,Mexico,2019,11
Iran,Inflows of foreign population by nationality,Women,Netherlands,2008,292
Iran,Inflows of foreign population by nationality,Women,Netherlands,2009,338
Iran,Inflows of foreign population by nationality,Women,Netherlands,2010,362
Iran,Inflows of foreign population by nationality,Women,Netherlands,2011,470
Iran,Inflows of foreign population by nationality,Women,Netherlands,2012,337
Iran,Inflows of foreign population by nationality,Women,Netherlands,2013,390
Iran,Inflows of foreign population by nationality,Women,Netherlands,2014,425
Iran,Inflows of foreign population by nationality,Women,Netherlands,2015,482
Iran,Inflows of foreign population by nationality,Women,Netherlands,2016,699
Iran,Inflows of foreign population by nationality,Women,Netherlands,2017,747
Iran,Inflows of foreign population by nationality,Women,Netherlands,2018,898
Iran,Inflows of foreign population by nationality,Women,Netherlands,2019,1562
Iran,Inflows of foreign population by nationality,Total,Netherlands,2000,392
Iran,Inflows of foreign population by nationality,Total,Netherlands,2001,466
Iran,Inflows of foreign population by nationality,Total,Netherlands,2002,381
Iran,Inflows of foreign population by nationality,Total,Netherlands,2003,427
Iran,Inflows of foreign population by nationality,Total,Netherlands,2004,323
Iran,Inflows of foreign population by nationality,Total,Netherlands,2005,307
Iran,Inflows of foreign population by nationality,Total,Netherlands,2006,363
Iran,Inflows of foreign population by nationality,Total,Netherlands,2007,419
Iran,Inflows of foreign population by nationality,Total,Netherlands,2008,584
Iran,Inflows of foreign population by nationality,Total,Netherlands,2009,636
Iran,Inflows of foreign population by nationality,Total,Netherlands,2010,689
Iran,Inflows of foreign population by nationality,Total,Netherlands,2011,883
Iran,Inflows of foreign population by nationality,Total,Netherlands,2012,624
Iran,Inflows of foreign population by nationality,Total,Netherlands,2013,695
Iran,Inflows of foreign population by nationality,Total,Netherlands,2014,853
Iran,Inflows of foreign population by nationality,Total,Netherlands,2015,910
Iran,Inflows of foreign population by nationality,Total,Netherlands,2016,1851
Iran,Inflows of foreign population by nationality,Total,Netherlands,2017,1481
Iran,Inflows of foreign population by nationality,Total,Netherlands,2018,1852
Iran,Inflows of foreign population by nationality,Total,Netherlands,2019,3215
Iran,Inflows of foreign population by nationality,Women,New Zealand,2000,101
Iran,Inflows of foreign population by nationality,Women,New Zealand,2001,115
Iran,Inflows of foreign population by nationality,Women,New Zealand,2002,98
Iran,Inflows of foreign population by nationality,Women,New Zealand,2003,126
Iran,Inflows of foreign population by nationality,Women,New Zealand,2004,81
Iran,Inflows of foreign population by nationality,Women,New Zealand,2005,132
Iran,Inflows of foreign population by nationality,Women,New Zealand,2006,90
Iran,Inflows of foreign population by nationality,Women,New Zealand,2007,73
Iran,Inflows of foreign population by nationality,Women,New Zealand,2008,102
Iran,Inflows of foreign population by nationality,Women,New Zealand,2009,109
Iran,Inflows of foreign population by nationality,Women,New Zealand,2010,135
Iran,Inflows of foreign population by nationality,Women,New Zealand,2011,125
Iran,Inflows of foreign population by nationality,Women,New Zealand,2012,132
Iran,Inflows of foreign population by nationality,Women,New Zealand,2013,145
Iran,Inflows of foreign population by nationality,Women,New Zealand,2014,193
Iran,Inflows of foreign population by nationality,Women,New Zealand,2015,160
Iran,Inflows of foreign population by nationality,Women,New Zealand,2016,150
Iran,Inflows of foreign population by nationality,Women,New Zealand,2017,179
Iran,Inflows of foreign population by nationality,Women,New Zealand,2018,165
Iran,Inflows of foreign population by nationality,Women,New Zealand,2019,141
Iran,Inflows of foreign population by nationality,Total,New Zealand,2000,258
Iran,Inflows of foreign population by nationality,Total,New Zealand,2001,264
Iran,Inflows of foreign population by nationality,Total,New Zealand,2002,230
Iran,Inflows of foreign population by nationality,Total,New Zealand,2003,255
Iran,Inflows of foreign population by nationality,Total,New Zealand,2004,167
Iran,Inflows of foreign population by nationality,Total,New Zealand,2005,259
Iran,Inflows of foreign population by nationality,Total,New Zealand,2006,178
Iran,Inflows of foreign population by nationality,Total,New Zealand,2007,153
Iran,Inflows of foreign population by nationality,Total,New Zealand,2008,191
Iran,Inflows of foreign population by nationality,Total,New Zealand,2009,206
Iran,Inflows of foreign population by nationality,Total,New Zealand,2010,266
Iran,Inflows of foreign population by nationality,Total,New Zealand,2011,261
Iran,Inflows of foreign population by nationality,Total,New Zealand,2012,271
Iran,Inflows of foreign population by nationality,Total,New Zealand,2013,309
Iran,Inflows of foreign population by nationality,Total,New Zealand,2014,389
Iran,Inflows of foreign population by nationality,Total,New Zealand,2015,321
Iran,Inflows of foreign population by nationality,Total,New Zealand,2016,318
Iran,Inflows of foreign population by nationality,Total,New Zealand,2017,347
Iran,Inflows of foreign population by nationality,Total,New Zealand,2018,340
Iran,Inflows of foreign population by nationality,Total,New Zealand,2019,294
Iran,Inflows of foreign population by nationality,Women,Norway,2000,310
Iran,Inflows of foreign population by nationality,Women,Norway,2001,412
Iran,Inflows of foreign population by nationality,Women,Norway,2002,400
Iran,Inflows of foreign population by nationality,Women,Norway,2003,339
Iran,Inflows of foreign population by nationality,Women,Norway,2004,256
Iran,Inflows of foreign population by nationality,Women,Norway,2005,194
Iran,Inflows of foreign population by nationality,Women,Norway,2006,166
Iran,Inflows of foreign population by nationality,Women,Norway,2007,224
Iran,Inflows of foreign population by nationality,Women,Norway,2008,200
Iran,Inflows of foreign population by nationality,Women,Norway,2009,262
Iran,Inflows of foreign population by nationality,Women,Norway,2010,279
Iran,Inflows of foreign population by nationality,Women,Norway,2011,409
Iran,Inflows of foreign population by nationality,Women,Norway,2012,365
Iran,Inflows of foreign population by nationality,Women,Norway,2013,374
Iran,Inflows of foreign population by nationality,Women,Norway,2014,210
Iran,Inflows of foreign population by nationality,Women,Norway,2015,205
Iran,Inflows of foreign population by nationality,Women,Norway,2016,330
Iran,Inflows of foreign population by nationality,Women,Norway,2017,320
Iran,Inflows of foreign population by nationality,Women,Norway,2018,234
Iran,Inflows of foreign population by nationality,Women,Norway,2019,261
Iran,Inflows of foreign population by nationality,Total,Norway,2000,582
Iran,Inflows of foreign population by nationality,Total,Norway,2001,848
Iran,Inflows of foreign population by nationality,Total,Norway,2002,756
Iran,Inflows of foreign population by nationality,Total,Norway,2003,698
Iran,Inflows of foreign population by nationality,Total,Norway,2004,475
Iran,Inflows of foreign population by nationality,Total,Norway,2005,338
Iran,Inflows of foreign population by nationality,Total,Norway,2006,279
Iran,Inflows of foreign population by nationality,Total,Norway,2007,412
Iran,Inflows of foreign population by nationality,Total,Norway,2008,422
Iran,Inflows of foreign population by nationality,Total,Norway,2009,522
Iran,Inflows of foreign population by nationality,Total,Norway,2010,548
Iran,Inflows of foreign population by nationality,Total,Norway,2011,812
Iran,Inflows of foreign population by nationality,Total,Norway,2012,755
Iran,Inflows of foreign population by nationality,Total,Norway,2013,753
Iran,Inflows of foreign population by nationality,Total,Norway,2014,441
Iran,Inflows of foreign population by nationality,Total,Norway,2015,399
Iran,Inflows of foreign population by nationality,Total,Norway,2016,722
Iran,Inflows of foreign population by nationality,Total,Norway,2017,726
Iran,Inflows of foreign population by nationality,Total,Norway,2018,452
Iran,Inflows of foreign population by nationality,Total,Norway,2019,501
Iran,Inflows of foreign population by nationality,Women,Poland,2013,52
Iran,Inflows of foreign population by nationality,Women,Poland,2014,28
Iran,Inflows of foreign population by nationality,Women,Poland,2015,59
Iran,Inflows of foreign population by nationality,Women,Poland,2016,76
Iran,Inflows of foreign population by nationality,Women,Poland,2017,67
Iran,Inflows of foreign population by nationality,Women,Poland,2018,95
Iran,Inflows of foreign population by nationality,Women,Poland,2019,103
Iran,Inflows of foreign population by nationality,Total,Poland,2005,40
Iran,Inflows of foreign population by nationality,Total,Poland,2006,49
Iran,Inflows of foreign population by nationality,Total,Poland,2007,64
Iran,Inflows of foreign population by nationality,Total,Poland,2008,68
Iran,Inflows of foreign population by nationality,Total,Poland,2009,73
Iran,Inflows of foreign population by nationality,Total,Poland,2010,111
Iran,Inflows of foreign population by nationality,Total,Poland,2011,126
Iran,Inflows of foreign population by nationality,Total,Poland,2012,132
Iran,Inflows of foreign population by nationality,Total,Poland,2013,174
Iran,Inflows of foreign population by nationality,Total,Poland,2014,89
Iran,Inflows of foreign population by nationality,Total,Poland,2015,181
Iran,Inflows of foreign population by nationality,Total,Poland,2016,197
Iran,Inflows of foreign population by nationality,Total,Poland,2017,233
Iran,Inflows of foreign population by nationality,Total,Poland,2018,243
Iran,Inflows of foreign population by nationality,Total,Poland,2019,289
Iran,Inflows of foreign population by nationality,Women,Slovak Republic,2006,2
Iran,Inflows of foreign population by nationality,Women,Slovak Republic,2008,1
Iran,Inflows of foreign population by nationality,Women,Slovak Republic,2009,27
Iran,Inflows of foreign population by nationality,Women,Slovak Republic,2010,3
Iran,Inflows of foreign population by nationality,Women,Slovak Republic,2011,8
Iran,Inflows of foreign population by nationality,Women,Slovak Republic,2012,1
Iran,Inflows of foreign population by nationality,Women,Slovak Republic,2013,2
Iran,Inflows of foreign population by nationality,Women,Slovak Republic,2014,2
Iran,Inflows of foreign population by nationality,Women,Slovak Republic,2015,2
Iran,Inflows of foreign population by nationality,Women,Slovak Republic,2016,2
Iran,Inflows of foreign population by nationality,Women,Slovak Republic,2017,2
Iran,Inflows of foreign population by nationality,Women,Slovak Republic,2018,3
Iran,Inflows of foreign population by nationality,Women,Slovak Republic,2019,5
Iran,Inflows of foreign population by nationality,Total,Slovak Republic,2003,12
Iran,Inflows of foreign population by nationality,Total,Slovak Republic,2004,19
Iran,Inflows of foreign population by nationality,Total,Slovak Republic,2005,12
Iran,Inflows of foreign population by nationality,Total,Slovak Republic,2006,7
Iran,Inflows of foreign population by nationality,Total,Slovak Republic,2007,1
Iran,Inflows of foreign population by nationality,Total,Slovak Republic,2008,2
Iran,Inflows of foreign population by nationality,Total,Slovak Republic,2009,3
Iran,Inflows of foreign population by nationality,Total,Slovak Republic,2010,7
Iran,Inflows of foreign population by nationality,Total,Slovak Republic,2011,1
Iran,Inflows of foreign population by nationality,Total,Slovak Republic,2012,4
Iran,Inflows of foreign population by nationality,Total,Slovak Republic,2013,3
Iran,Inflows of foreign population by nationality,Total,Slovak Republic,2014,3
Iran,Inflows of foreign population by nationality,Total,Slovak Republic,2015,7
Iran,Inflows of foreign population by nationality,Total,Slovak Republic,2016,4
Iran,Inflows of foreign population by nationality,Total,Slovak Republic,2017,3
Iran,Inflows of foreign population by nationality,Total,Slovak Republic,2018,5
Iran,Inflows of foreign population by nationality,Total,Slovak Republic,2019,11
Iran,Inflows of foreign population by nationality,Women,Spain,2000,82
Iran,Inflows of foreign population by nationality,Women,Spain,2001,88
Iran,Inflows of foreign population by nationality,Women,Spain,2002,82
Iran,Inflows of foreign population by nationality,Women,Spain,2003,93
Iran,Inflows of foreign population by nationality,Women,Spain,2004,140
Iran,Inflows of foreign population by nationality,Women,Spain,2005,104
Iran,Inflows of foreign population by nationality,Women,Spain,2006,129
Iran,Inflows of foreign population by nationality,Women,Spain,2007,123
Iran,Inflows of foreign population by nationality,Women,Spain,2008,108
Iran,Inflows of foreign population by nationality,Women,Spain,2009,128
Iran,Inflows of foreign population by nationality,Women,Spain,2010,169
Iran,Inflows of foreign population by nationality,Women,Spain,2011,225
Iran,Inflows of foreign population by nationality,Women,Spain,2012,289
Iran,Inflows of foreign population by nationality,Women,Spain,2013,223
Iran,Inflows of foreign population by nationality,Women,Spain,2014,220
Iran,Inflows of foreign population by nationality,Women,Spain,2015,265
Iran,Inflows of foreign population by nationality,Women,Spain,2016,357
Iran,Inflows of foreign population by nationality,Women,Spain,2017,728
Iran,Inflows of foreign population by nationality,Women,Spain,2018,0
Iran,Inflows of foreign population by nationality,Women,Spain,2019,0
Iran,Inflows of foreign population by nationality,Total,Spain,2000,236
Iran,Inflows of foreign population by nationality,Total,Spain,2001,223
Iran,Inflows of foreign population by nationality,Total,Spain,2002,177
Iran,Inflows of foreign population by nationality,Total,Spain,2003,212
Iran,Inflows of foreign population by nationality,Total,Spain,2004,313
Iran,Inflows of foreign population by nationality,Total,Spain,2005,266
Iran,Inflows of foreign population by nationality,Total,Spain,2006,304
Iran,Inflows of foreign population by nationality,Total,Spain,2007,297
Iran,Inflows of foreign population by nationality,Total,Spain,2008,280
Iran,Inflows of foreign population by nationality,Total,Spain,2009,291
Iran,Inflows of foreign population by nationality,Total,Spain,2010,363
Iran,Inflows of foreign population by nationality,Total,Spain,2011,490
Iran,Inflows of foreign population by nationality,Total,Spain,2012,616
Iran,Inflows of foreign population by nationality,Total,Spain,2013,456
Iran,Inflows of foreign population by nationality,Total,Spain,2014,485
Iran,Inflows of foreign population by nationality,Total,Spain,2015,549
Iran,Inflows of foreign population by nationality,Total,Spain,2016,737
Iran,Inflows of foreign population by nationality,Total,Spain,2017,1478
Iran,Inflows of foreign population by nationality,Total,Spain,2018,0
Iran,Inflows of foreign population by nationality,Total,Spain,2019,0
Iran,Inflows of foreign population by nationality,Women,Sweden,2000,704
Iran,Inflows of foreign population by nationality,Women,Sweden,2001,757
Iran,Inflows of foreign population by nationality,Women,Sweden,2002,749
Iran,Inflows of foreign population by nationality,Women,Sweden,2003,581
Iran,Inflows of foreign population by nationality,Women,Sweden,2004,763
Iran,Inflows of foreign population by nationality,Women,Sweden,2005,576
Iran,Inflows of foreign population by nationality,Women,Sweden,2006,1064
Iran,Inflows of foreign population by nationality,Women,Sweden,2007,745
Iran,Inflows of foreign population by nationality,Women,Sweden,2008,897
Iran,Inflows of foreign population by nationality,Women,Sweden,2009,1249
Iran,Inflows of foreign population by nationality,Women,Sweden,2010,1357
Iran,Inflows of foreign population by nationality,Women,Sweden,2011,1099
Iran,Inflows of foreign population by nationality,Women,Sweden,2012,1108
Iran,Inflows of foreign population by nationality,Women,Sweden,2013,973
Iran,Inflows of foreign population by nationality,Women,Sweden,2014,952
Iran,Inflows of foreign population by nationality,Women,Sweden,2015,698
Iran,Inflows of foreign population by nationality,Women,Sweden,2016,875
Iran,Inflows of foreign population by nationality,Women,Sweden,2017,1062
Iran,Inflows of foreign population by nationality,Women,Sweden,2018,1152
Iran,Inflows of foreign population by nationality,Women,Sweden,2019,1170
Iran,Inflows of foreign population by nationality,Total,Sweden,2000,1106
Iran,Inflows of foreign population by nationality,Total,Sweden,2001,1301
Iran,Inflows of foreign population by nationality,Total,Sweden,2002,1365
Iran,Inflows of foreign population by nationality,Total,Sweden,2003,1016
Iran,Inflows of foreign population by nationality,Total,Sweden,2004,1477
Iran,Inflows of foreign population by nationality,Total,Sweden,2005,1063
Iran,Inflows of foreign population by nationality,Total,Sweden,2006,2008
Iran,Inflows of foreign population by nationality,Total,Sweden,2007,1427
Iran,Inflows of foreign population by nationality,Total,Sweden,2008,1766
Iran,Inflows of foreign population by nationality,Total,Sweden,2009,2416
Iran,Inflows of foreign population by nationality,Total,Sweden,2010,2820
Iran,Inflows of foreign population by nationality,Total,Sweden,2011,2168
Iran,Inflows of foreign population by nationality,Total,Sweden,2012,2111
Iran,Inflows of foreign population by nationality,Total,Sweden,2013,1988
Iran,Inflows of foreign population by nationality,Total,Sweden,2014,1744
Iran,Inflows of foreign population by nationality,Total,Sweden,2015,1334
Iran,Inflows of foreign population by nationality,Total,Sweden,2016,1702
Iran,Inflows of foreign population by nationality,Total,Sweden,2017,2348
Iran,Inflows of foreign population by nationality,Total,Sweden,2018,2504
Iran,Inflows of foreign population by nationality,Total,Sweden,2019,2300
Iran,Inflows of foreign population by nationality,Women,Switzerland,2010,236
Iran,Inflows of foreign population by nationality,Women,Switzerland,2011,262
Iran,Inflows of foreign population by nationality,Women,Switzerland,2012,214
Iran,Inflows of foreign population by nationality,Women,Switzerland,2013,200
Iran,Inflows of foreign population by nationality,Women,Switzerland,2014,184
Iran,Inflows of foreign population by nationality,Women,Switzerland,2015,220
Iran,Inflows of foreign population by nationality,Women,Switzerland,2016,230
Iran,Inflows of foreign population by nationality,Women,Switzerland,2017,242
Iran,Inflows of foreign population by nationality,Women,Switzerland,2018,290
Iran,Inflows of foreign population by nationality,Women,Switzerland,2019,285
Iran,Inflows of foreign population by nationality,Total,Switzerland,2010,522
Iran,Inflows of foreign population by nationality,Total,Switzerland,2011,524
Iran,Inflows of foreign population by nationality,Total,Switzerland,2012,467
Iran,Inflows of foreign population by nationality,Total,Switzerland,2013,437
Iran,Inflows of foreign population by nationality,Total,Switzerland,2014,386
Iran,Inflows of foreign population by nationality,Total,Switzerland,2015,440
Iran,Inflows of foreign population by nationality,Total,Switzerland,2016,439
Iran,Inflows of foreign population by nationality,Total,Switzerland,2017,485
Iran,Inflows of foreign population by nationality,Total,Switzerland,2018,606
Iran,Inflows of foreign population by nationality,Total,Switzerland,2019,545
Iran,Inflows of foreign population by nationality,Women,Turkey,2010,610
Iran,Inflows of foreign population by nationality,Women,Turkey,2016,7307
Iran,Inflows of foreign population by nationality,Women,Turkey,2017,8323
Iran,Inflows of foreign population by nationality,Women,Turkey,2018,15174
Iran,Inflows of foreign population by nationality,Women,Turkey,2019,18820
Iran,Inflows of foreign population by nationality,Total,Turkey,2010,1539
Iran,Inflows of foreign population by nationality,Total,Turkey,2016,15539
Iran,Inflows of foreign population by nationality,Total,Turkey,2017,17794
Iran,Inflows of foreign population by nationality,Total,Turkey,2018,31922
Iran,Inflows of foreign population by nationality,Total,Turkey,2019,42351
Iran,Inflows of foreign population by nationality,Total,United Kingdom,2000,906
Iran,Inflows of foreign population by nationality,Total,United Kingdom,2001,1141
Iran,Inflows of foreign population by nationality,Total,United Kingdom,2009,4000
Iran,Inflows of foreign population by nationality,Total,United Kingdom,2011,2000
Iran,Inflows of foreign population by nationality,Total,United Kingdom,2012,1000
Iran,Inflows of foreign population by nationality,Total,United Kingdom,2014,1000
Iran,Inflows of foreign population by nationality,Women,United States,2002,6784
Iran,Inflows of foreign population by nationality,Women,United States,2003,4030
Iran,Inflows of foreign population by nationality,Women,United States,2004,5474
Iran,Inflows of foreign population by nationality,Women,United States,2005,7255
Iran,Inflows of foreign population by nationality,Women,United States,2006,7530
Iran,Inflows of foreign population by nationality,Women,United States,2007,5808
Iran,Inflows of foreign population by nationality,Women,United States,2008,7172
Iran,Inflows of foreign population by nationality,Women,United States,2009,9551
Iran,Inflows of foreign population by nationality,Women,United States,2010,7615
Iran,Inflows of foreign population by nationality,Women,United States,2011,7919
Iran,Inflows of foreign population by nationality,Women,United States,2012,6686
Iran,Inflows of foreign population by nationality,Women,United States,2013,6386
Iran,Inflows of foreign population by nationality,Women,United States,2014,6087
Iran,Inflows of foreign population by nationality,Women,United States,2015,6843
Iran,Inflows of foreign population by nationality,Women,United States,2016,7002
Iran,Inflows of foreign population by nationality,Women,United States,2017,7317
Iran,Inflows of foreign population by nationality,Women,United States,2018,5033
Iran,Inflows of foreign population by nationality,Women,United States,2019,2885
Iran,Inflows of foreign population by nationality,Total,United States,2000,8487
Iran,Inflows of foreign population by nationality,Total,United States,2001,10425
Iran,Inflows of foreign population by nationality,Total,United States,2002,12960
Iran,Inflows of foreign population by nationality,Total,United States,2003,7230
Iran,Inflows of foreign population by nationality,Total,United States,2004,10434
Iran,Inflows of foreign population by nationality,Total,United States,2005,13887
Iran,Inflows of foreign population by nationality,Total,United States,2006,13947
Iran,Inflows of foreign population by nationality,Total,United States,2007,10460
Iran,Inflows of foreign population by nationality,Total,United States,2008,13852
Iran,Inflows of foreign population by nationality,Total,United States,2009,18553
Iran,Inflows of foreign population by nationality,Total,United States,2010,14182
Iran,Inflows of foreign population by nationality,Total,United States,2011,14822
Iran,Inflows of foreign population by nationality,Total,United States,2012,12916
Iran,Inflows of foreign population by nationality,Total,United States,2013,12863
Iran,Inflows of foreign population by nationality,Total,United States,2014,11615
Iran,Inflows of foreign population by nationality,Total,United States,2015,13114
Iran,Inflows of foreign population by nationality,Total,United States,2016,13298
Iran,Inflows of foreign population by nationality,Total,United States,2017,13791
Iran,Inflows of foreign population by nationality,Total,United States,2018,10116
Iran,Inflows of foreign population by nationality,Total,United States,2019,5789
Iran,Inflows of foreign population by nationality,Women,Chile,2005,3
Iran,Inflows of foreign population by nationality,Women,Chile,2006,1
Iran,Inflows of foreign population by nationality,Women,Chile,2007,4
Iran,Inflows of foreign population by nationality,Women,Chile,2008,3
Iran,Inflows of foreign population by nationality,Women,Chile,2009,1
Iran,Inflows of foreign population by nationality,Women,Chile,2010,1
Iran,Inflows of foreign population by nationality,Women,Chile,2011,0
Iran,Inflows of foreign population by nationality,Women,Chile,2012,2
Iran,Inflows of foreign population by nationality,Women,Chile,2013,8
Iran,Inflows of foreign population by nationality,Women,Chile,2014,9
Iran,Inflows of foreign population by nationality,Women,Chile,2015,11
Iran,Inflows of foreign population by nationality,Women,Chile,2016,8
Iran,Inflows of foreign population by nationality,Total,Chile,2000,8
Iran,Inflows of foreign population by nationality,Total,Chile,2001,5
Iran,Inflows of foreign population by nationality,Total,Chile,2002,9
Iran,Inflows of foreign population by nationality,Total,Chile,2003,1
Iran,Inflows of foreign population by nationality,Total,Chile,2004,3
Iran,Inflows of foreign population by nationality,Total,Chile,2005,10
Iran,Inflows of foreign population by nationality,Total,Chile,2006,7
Iran,Inflows of foreign population by nationality,Total,Chile,2007,7
Iran,Inflows of foreign population by nationality,Total,Chile,2008,6
Iran,Inflows of foreign population by nationality,Total,Chile,2009,5
Iran,Inflows of foreign population by nationality,Total,Chile,2010,2
Iran,Inflows of foreign population by nationality,Total,Chile,2011,6
Iran,Inflows of foreign population by nationality,Total,Chile,2012,7
Iran,Inflows of foreign population by nationality,Total,Chile,2013,20
Iran,Inflows of foreign population by nationality,Total,Chile,2014,21
Iran,Inflows of foreign population by nationality,Total,Chile,2015,29
Iran,Inflows of foreign population by nationality,Total,Chile,2016,20
Iran,Inflows of foreign population by nationality,Women,Estonia,2004,0
Iran,Inflows of foreign population by nationality,Women,Estonia,2005,0
Iran,Inflows of foreign population by nationality,Women,Estonia,2006,0
Iran,Inflows of foreign population by nationality,Women,Estonia,2007,0
Iran,Inflows of foreign population by nationality,Women,Estonia,2008,1
Iran,Inflows of foreign population by nationality,Women,Estonia,2009,1
