CO2,Country of birth/nationality,Variable,Gender,Country,Value,Year,,,,,,,,,,,,,
IRN,Iran,Inflows of foreign population by nationality,Total,Germany,3377,2005,,,,,,,,,,,,,
IRN,Iran,Inflows of foreign population by nationality,Total,Germany,3257,2008,,,,,,,,,,,,,
IRN,Iran,Inflows of foreign population by nationality,Total,Netherlands,3215,2019,,,,,,,,,,,,,
IRN,Iran,Inflows of foreign population by nationality,Total,Australia,3068,2013,,,,,,,,,,,,,
IRN,Iran,Inflows of foreign population by nationality,Total,Australia,3024,2012,,,,,,,,,,,,,
IRN,Iran,Inflows of foreign population by nationality,Total,Germany,2851,2006,,,,,,,,,,,,,
IRN,Iran,Inflows of foreign population by nationality,Total,Sweden,2820,2010,,,,,,,,,,,,,
IRN,Iran,Inflows of foreign population by nationality,Total,Australia,2818,2017,,,,,,,,,,,,,
IRN,Iran,Inflows of foreign population by nationality,Total,Australia,2785,2016,,,,,,,,,,,,,
IRN,Iran,Inflows of foreign population by nationality,Total,Australia,2693,2014,,,,,,,,,,,,,
IRN,Iran,Inflows of foreign population by nationality,Total,Germany,2632,2007,,,,,,,,,,,,,
IRN,Iran,Inflows of foreign population by nationality,Total,Austria,2612,2014,,,,,,,,,,,,,
IRN,Iran,Inflows of foreign population by nationality,Total,Austria,2595,2013,,,,,,,,,,,,,
IRN,Iran,Inflows of foreign population by nationality,Total,Australia,2560,2018,,,,,,,,,,,,,
IRN,Iran,Inflows of foreign population by nationality,Total,Australia,2559,2011,,,,,,,,,,,,,
IRN,Iran,Inflows of foreign population by nationality,Total,Sweden,2504,2018,,,,,,,,,,,,,
IRN,Iran,Inflows of foreign population by nationality,Total,Austria,2466,2000,,,,,,,,,,,,,
IRN,Iran,Inflows of foreign population by nationality,Total,Sweden,2416,2009,,,,,,,,,,,,,
IRN,Iran,Inflows of foreign population by nationality,Total,Austria,2409,2012,,,,,,,,,,,,,
IRN,Iran,Inflows of foreign population by nationality,Total,Sweden,2348,2017,,,,,,,,,,,,,
IRN,Iran,Inflows of foreign population by nationality,Total,Sweden,2300,2019,,,,,,,,,,,,,
IRN,Iran,Inflows of foreign population by nationality,Total,Sweden,2168,2011,,,,,,,,,,,,,
IRN,Iran,Inflows of foreign population by nationality,Total,Australia,2163,2019,,,,,,,,,,,,,
IRN,Iran,Inflows of foreign population by nationality,Total,Austria,2161,2006,,,,,,,,,,,,,
IRN,Iran,Inflows of foreign population by nationality,Total,Sweden,2111,2012,,,,,,,,,,,,,
IRN,Iran,Inflows of foreign population by nationality,Total,Australia,2041,2009,,,,,,,,,,,,,
IRN,Iran,Inflows of foreign population by nationality,Total,Sweden,2008,2006,,,,,,,,,,,,,
IRN,Iran,Inflows of foreign population by nationality,Total,Austria,2004,2007,,,,,,,,,,,,,
IRN,Iran,Inflows of foreign population by nationality,Total,United Kingdom,2000,2011,,,,,,,,,,,,,
IRN,Iran,Inflows of foreign population by nationality,Total,Sweden,1988,2013,,,,,,,,,,,,,
IRN,Iran,Inflows of foreign population by nationality,Total,Austria,1872,2009,,,,,,,,,,,,,
IRN,Iran,Inflows of foreign population by nationality,Total,Netherlands,1852,2018,,,,,,,,,,,,,
IRN,Iran,Inflows of foreign population by nationality,Total,Netherlands,1851,2016,,,,,,,,,,,,,
IRN,Iran,Inflows of foreign population by nationality,Total,Australia,1832,2010,,,,,,,,,,,,,
IRN,Iran,Inflows of foreign population by nationality,Total,Austria,1806,2017,,,,,,,,,,,,,
IRN,Iran,Inflows of foreign population by nationality,Total,Sweden,1766,2008,,,,,,,,,,,,,
IRN,Iran,Inflows of foreign population by nationality,Total,Korea,1746,2000,,,,,,,,,,,,,
IRN,Iran,Inflows of foreign population by nationality,Total,Sweden,1744,2014,,,,,,,,,,,,,
IRN,Iran,Inflows of foreign population by nationality,Total,Sweden,1702,2016,,,,,,,,,,,,,
IRN,Iran,Inflows of foreign population by nationality,Total,Austria,1701,2008,,,,,,,,,,,,,
IRN,Iran,Inflows of foreign population by nationality,Total,Austria,1699,2018,,,,,,,,,,,,,
IRN,Iran,Inflows of foreign population by nationality,Total,Italy,1648,2019,,,,,,,,,,,,,
IRN,Iran,Inflows of foreign population by nationality,Total,Austria,1627,2010,,,,,,,,,,,,,
IRN,Iran,Inflows of foreign population by nationality,Total,Turkey,1539,2010,,,,,,,,,,,,,
IRN,Iran,Inflows of foreign population by nationality,Total,Netherlands,1481,2017,,,,,,,,,,,,,
IRN,Iran,Inflows of foreign population by nationality,Total,Spain,1478,2017,,,,,,,,,,,,,
IRN,Iran,Inflows of foreign population by nationality,Total,Sweden,1477,2004,,,,,,,,,,,,,
IRN,Iran,Inflows of foreign population by nationality,Total,Sweden,1427,2007,,,,,,,,,,,,,
IRN,Iran,Inflows of foreign population by nationality,Total,Austria,1400,2019,,,,,,,,,,,,,
IRN,Iran,Inflows of foreign population by nationality,Total,Italy,1397,2013,,,,,,,,,,,,,
IRN,Iran,Inflows of foreign population by nationality,Total,Italy,1378,2012,,,,,,,,,,,,,
IRN,Iran,Inflows of foreign population by nationality,Total,Sweden,1365,2002,,,,,,,,,,,,,
IRN,Iran,Inflows of foreign population by nationality,Total,Italy,1353,2018,,,,,,,,,,,,,
IRN,Iran,Inflows of foreign population by nationality,Total,Austria,1349,2011,,,,,,,,,,,,,
IRN,Iran,Inflows of foreign population by nationality,Total,Sweden,1334,2015,,,,,,,,,,,,,
IRN,Iran,Inflows of foreign population by nationality,Total,Italy,1304,2017,,,,,,,,,,,,,
IRN,Iran,Inflows of foreign population by nationality,Total,Sweden,1301,2001,,,,,,,,,,,,,
IRN,Iran,Inflows of foreign population by nationality,Total,Denmark,1273,2017,,,,,,,,,,,,,
IRN,Iran,Inflows of foreign population by nationality,Total,Italy,1205,2014,,,,,,,,,,,,,
IRN,Iran,Inflows of foreign population by nationality,Total,Italy,1190,2015,,,,,,,,,,,,,
IRN,Iran,Inflows of foreign population by nationality,Total,Australia,1153,2008,,,,,,,,,,,,,
IRN,Iran,Inflows of foreign population by nationality,Total,Austria,1152,2003,,,,,,,,,,,,,
IRN,Iran,Inflows of foreign population by nationality,Total,United Kingdom,1141,2001,,,,,,,,,,,,,
IRN,Iran,Inflows of foreign population by nationality,Total,Sweden,1106,2000,,,,,,,,,,,,,
IRN,Iran,Inflows of foreign population by nationality,Total,Belgium,1093,2019,,,,,,,,,,,,,
IRN,Iran,Inflows of foreign population by nationality,Total,Sweden,1063,2005,,,,,,,,,,,,,
IRN,Iran,Inflows of foreign population by nationality,Total,Austria,1060,2001,,,,,,,,,,,,,
IRN,Iran,Inflows of foreign population by nationality,Total,France,1057,2018,,,,,,,,,,,,,
IRN,Iran,Inflows of foreign population by nationality,Total,Italy,1045,2016,,,,,,,,,,,,,
IRN,Iran,Inflows of foreign population by nationality,Total,Austria,1033,2005,,,,,,,,,,,,,
IRN,Iran,Inflows of foreign population by nationality,Total,France,1019,2019,,,,,,,,,,,,,
IRN,Iran,Inflows of foreign population by nationality,Total,Sweden,1016,2003,,,,,,,,,,,,,
IRN,Iran,Inflows of foreign population by nationality,Total,Hungary,1009,2017,,,,,,,,,,,,,
IRN,Iran,Inflows of foreign population by nationality,Total,Austria,1008,2004,,,,,,,,,,,,,
IRN,Iran,Inflows of foreign population by nationality,Total,Austria,1007,2002,,,,,,,,,,,,,
IRN,Iran,Inflows of foreign population by nationality,Total,United Kingdom,1000,2012,,,,,,,,,,,,,
IRN,Iran,Inflows of foreign population by nationality,Total,United Kingdom,1000,2014,,,,,,,,,,,,,
IRN,Iran,Inflows of foreign population by nationality,Total,Korea,998,2001,,,,,,,,,,,,,
IRN,Iran,Inflows of foreign population by nationality,Total,Australia,987,2005,,,,,,,,,,,,,
IRN,Iran,Inflows of foreign population by nationality,Total,Australia,977,2007,,,,,,,,,,,,,
IRN,Iran,Inflows of foreign population by nationality,Total,Italy,940,2011,,,,,,,,,,,,,
IRN,Iran,Inflows of foreign population by nationality,Total,Denmark,939,2014,,,,,,,,,,,,,
IRN,Iran,Inflows of foreign population by nationality,Total,Australia,931,2006,,,,,,,,,,,,,
IRN,Iran,Inflows of foreign population by nationality,Total,Denmark,931,2013,,,,,,,,,,,,,
IRN,Iran,Inflows of foreign population by nationality,Total,Netherlands,910,2015,,,,,,,,,,,,,
IRN,Iran,Inflows of foreign population by nationality,Total,United Kingdom,906,2000,,,,,,,,United States,Germany,Canada,Austria,Korea,Sweden
IRN,Iran,Inflows of foreign population by nationality,Total,Netherlands,883,2011,,,,,,,,8487,7753,5617,2466,1746,1106
IRN,Iran,Inflows of foreign population by nationality,Total,Australia,878,2000,,,,,,,,,,,,,
IRN,Iran,Inflows of foreign population by nationality,Total,Netherlands,853,2014,,,,,,,,,,,,,
IRN,Iran,Inflows of foreign population by nationality,Total,Norway,848,2001,,,,,,,,,,,,,
IRN,Iran,Inflows of foreign population by nationality,Total,Australia,847,2001,,,,,,,,,,,,,
IRN,Iran,Inflows of foreign population by nationality,Total,Denmark,819,2016,,,,,,,,,,,,,
IRN,Iran,Inflows of foreign population by nationality,Total,Norway,812,2011,,,,,,,,,,,,,
IRN,Iran,Inflows of foreign population by nationality,Total,France,792,2017,,,,,,,,,,,,,
IRN,Iran,Inflows of foreign population by nationality,Total,Australia,780,2003,,,,,,,,,,,,,
IRN,Iran,Inflows of foreign population by nationality,Total,Hungary,771,2018,,,,,,,,,,,,,
IRN,Iran,Inflows of foreign population by nationality,Total,Australia,761,2004,,,,,,,,,,,,,
IRN,Iran,Inflows of foreign population by nationality,Total,Norway,756,2002,,,,,,,,,,,,,
IRN,Iran,Inflows of foreign population by nationality,Total,Norway,755,2012,,,,,,,,,,,,,
IRN,Iran,Inflows of foreign population by nationality,Total,Norway,753,2013,,,,,,,,,,,,,
IRN,Iran,Inflows of foreign population by nationality,Total,Belgium,750,2018,,,,,,,,,,,,,
